EXHAUSTIVE ENUMERATION of symmetric wall-diagonal redirect rules
f_5(NE) -> (slot @ cell-offset); f_6(NW) x-mirrored; bottom y-mirrored.

rule               y-class        dWall_noStim    massDrift   LAT_c38_us    precharge
--------------------------------------------------------------------------------------
f5->0@-1           stays(x)            18.0511      5.5e-09      -2182.4       -69.21
f5->0@+0           stays(x)            18.2886      5.4e-09      -1416.6       -69.21
f5->0@+1           stays(x)            17.9576      5.5e-09      -1599.3       -69.21
f5->E@-1           stays(x)            17.8705      5.5e-09      -2489.8       -69.21
f5->E@+0           stays(x)            18.3528      5.5e-09      -1548.2       -69.21
f5->E@+1           stays(x)            18.1944      5.5e-09      -1131.6       -69.21
f5->W@-1           stays(x)            18.2422      5.4e-09      -1758.6       -69.21
f5->W@+0           stays(x)            18.3231      5.5e-09      -1041.5       -69.21
f5->W@+1           stays(x)            17.7124      5.5e-09      -3359.4       -69.21
f5->N@-1           rehits(+y)          24.0775      5.4e-09      -3144.4       -62.05
f5->N@+0           rehits(+y)          24.2750      5.4e-09      -2912.1       -62.05
f5->N@+1           rehits(+y)          24.0238      5.4e-09      -3243.0       -62.05
f5->S@-1           leaves(-y)          -0.0204      5.5e-09      -1509.1       -85.24
f5->S@+0           leaves(-y)           0.1094      5.6e-09       -225.3       -85.23
f5->S@+1           leaves(-y)          -0.0722      5.5e-09       -751.9       -85.23
f5->NE@-1          rehits(+y)          18.1954      5.4e-09      -1762.9       -69.21
f5->NE@+0          rehits(+y)          18.2886      5.5e-09      -1416.6       -69.21
f5->NE@+1          rehits(+y)          18.3603      5.4e-09      -1128.6       -69.21
f5->NW@-1          rehits(+y)          18.3745      5.5e-09      -2614.5       -69.21
f5->NW@+0          rehits(+y)          18.2886      5.4e-09      -1416.6       -69.21
f5->NW@+1          rehits(+y)          17.9193      5.5e-09      -1673.5       -69.21
f5->SW@-1          leaves(-y)           0.5140      5.6e-09      -1238.3       -85.23
f5->SW@+0          leaves(-y)          -0.0000     -1.6e-10        105.6       -85.23
f5->SW@+1          leaves(-y)          -0.0570      5.5e-09      -1202.7       -85.23
f5->SE@-1          leaves(-y)           0.0606      5.5e-09      -1806.7       -85.23
f5->SE@+0          leaves(-y)          -0.0000     -1.6e-10       -313.3       -85.23
f5->SE@+1          leaves(-y)           0.4795      5.5e-09        -91.3       -85.23
