phase,run,epoch,train_loss,val_mse,lr,rollout,batch_size,data_tiers,loss_type,notes
B1_ionic,b1_t1only,0,1.339012,0.087516,4.52e-04,1,4096,T1,ionic_state,
B1_ionic,b1_t1only,1,0.049829,0.087288,3.27e-04,1,4096,T1,ionic_state,
B1_ionic,b1_t1only,2,0.049455,0.086508,1.73e-04,1,4096,T1,ionic_state,
B1_ionic,b1_t1only,3,0.049406,0.086245,4.77e-05,1,4096,T1,ionic_state,
B1_ionic,b1_t1only,4,0.049386,0.086150,0.00e+00,1,4096,T1,ionic_state,
B1,b1_combined2,0,593.782483,403.207580,4.99e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,1,337.744998,197.253875,4.95e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,2,273.622748,163.649508,4.88e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,3,257.459567,192.274092,4.78e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,4,206.292216,119.285974,4.67e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,5,258.098850,162.346870,4.52e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,6,199.216502,89.118147,4.36e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,7,119.782507,50.883196,4.17e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,8,83.358362,41.396669,3.97e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,9,60.128594,20.411385,3.75e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,10,31.947570,14.283697,3.52e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,11,21.425534,8.619288,3.27e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,12,22.608584,6.115764,3.02e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,13,9.970401,4.637768,2.76e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,14,8.331458,5.977631,2.50e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,15,5.546512,4.469757,2.24e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,16,3.800152,1.961717,1.98e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,17,2.374708,1.612322,1.73e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,18,1.799115,1.398640,1.48e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,19,1.360279,1.215133,1.25e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,20,1.107211,0.890446,1.03e-04,1,4096,T1,ionic+conc,
B1,b1_combined2,21,0.897638,0.760981,8.27e-05,1,4096,T1,ionic+conc,
B1,b1_combined2,22,0.799977,0.692441,6.42e-05,1,4096,T1,ionic+conc,
B1,b1_combined2,23,0.723724,0.661670,4.77e-05,1,4096,T1,ionic+conc,
B1,b1_combined2,24,0.669961,0.614066,3.35e-05,1,4096,T1,ionic+conc,
B1,b1_combined2,25,0.633861,0.599432,2.16e-05,1,4096,T1,ionic+conc,
B1,b1_combined2,26,0.611245,0.576817,1.22e-05,1,4096,T1,ionic+conc,
B1,b1_combined2,27,0.595145,0.566690,5.46e-06,1,4096,T1,ionic+conc,
B1,b1_combined2,28,0.586821,0.561484,1.37e-06,1,4096,T1,ionic+conc,
B1,b1_combined2,29,0.582737,0.562199,0.00e+00,1,4096,T1,ionic+conc,
B2,b2_test,0,939.569648,41623.415491,4.99e-04,10,4096,T1,ionic+conc,initial shock
B2,b2_test,1,2693.073067,34.547094,4.95e-04,10,4096,T1,ionic+conc,
B2,b2_test,2,785.750133,13.020387,4.88e-04,10,4096,T1,ionic+conc,
B2,b2_test,3,364.524735,11.722176,4.78e-04,10,4096,T1,ionic+conc,
B2,b2_test,4,4803.990710,27215.822113,4.67e-04,10,4096,T1,ionic+conc,spike
B2,b2_test,5,6182.616517,6.357965,4.52e-04,10,4096,T1,ionic+conc,
B2,b2_test,6,1434.202013,9.940247,4.36e-04,10,4096,T1,ionic+conc,
B2,b2_test,7,1516.303678,4.781354,4.17e-04,10,4096,T1,ionic+conc,
B2,b2_test,8,649.622928,4.882666,3.97e-04,10,4096,T1,ionic+conc,
B2,b2_test,9,775.000574,4.547276,3.75e-04,10,4096,T1,ionic+conc,
B2,b2_test,10,143.691179,4.893035,3.52e-04,10,4096,T1,ionic+conc,
B2,b2_test,11,291.068782,3.106911,3.27e-04,10,4096,T1,ionic+conc,
B2,b2_test,12,434.573203,3.178699,3.02e-04,10,4096,T1,ionic+conc,
B2,b2_test,13,18.452316,27.749822,2.76e-04,10,4096,T1,ionic+conc,late spike
B2,b2_test,14,4.701594,3.876290,2.50e-04,10,4096,T1,ionic+conc,stabilizing
B2,b2_test,15,6.390547,3.391708,2.24e-04,10,4096,T1,ionic+conc,
B2,b2_test,16,3.140318,2.529821,1.98e-04,10,4096,T1,ionic+conc,
B2,b2_test,17,2.948304,3.578759,1.73e-04,10,4096,T1,ionic+conc,
B2,b2_test,18,3.020096,2.196733,1.48e-04,10,4096,T1,ionic+conc,
B2,b2_test,19,2.499121,1.984115,1.25e-04,10,4096,T1,ionic+conc,
B2,b2_test,20,2.228939,1.933545,1.03e-04,10,4096,T1,ionic+conc,
B2,b2_test,21,2.090707,1.850678,8.27e-05,10,4096,T1,ionic+conc,
B2,b2_test,22,1.998551,1.909121,6.42e-05,10,4096,T1,ionic+conc,
B2,b2_test,23,1.935665,1.805791,4.77e-05,10,4096,T1,ionic+conc,
